month,pg_fbm_sales,pg_fba_sales,pg_amazon_sales,pg_vendor_sales,pg_total_sales,html_amazon_sales,html_vendor_sales,html_total_sales,dashboard_total_sales,csv_total_sales,refunded_original_sales,included_order_item_count,missing_order_items,extra_order_items,duplicate_order_items,sales_difference,pass_fail
2025-01,27640.92,6614.77,34255.69,0.00,34255.69,34255.69,0.00,34255.69,34255.69,34255.69,808.69,1644,0,0,0,0.00,PASS
2025-02,22392.28,6175.60,28567.88,0.00,28567.88,28567.88,0.00,28567.88,28567.88,28567.88,529.15,1357,0,0,0,0.00,PASS
2025-03,25974.78,5674.35,31649.13,0.00,31649.13,31649.13,0.00,31649.13,31649.13,31649.13,630.80,1520,0,0,0,0.00,PASS
2025-04,29721.09,9386.50,39107.59,0.00,39107.59,39107.59,0.00,39107.59,39107.59,39107.59,919.75,1946,0,0,0,0.00,PASS
2025-05,27813.73,10770.56,38584.29,0.00,38584.29,38584.29,0.00,38584.29,38584.29,38584.29,652.52,1972,0,0,0,0.00,PASS
2025-06,27797.40,9293.56,37090.96,4302.96,41393.92,37090.96,4302.96,41393.92,41393.92,41393.92,766.17,1864,0,0,0,0.00,PASS
2025-07,32679.10,17099.58,49778.68,4568.81,54347.49,49778.68,4568.81,54347.49,54347.49,54347.49,1366.48,2417,0,0,0,0.00,PASS
2025-08,33965.18,8022.93,41988.11,5107.32,47095.43,41988.11,5107.32,47095.43,47095.43,47095.43,631.81,2171,0,0,0,0.00,PASS
2025-09,34800.30,13473.50,48273.80,7510.31,55784.11,48273.80,7510.31,55784.11,55784.11,55784.11,1043.48,2401,0,0,0,0.00,PASS
2025-10,38000.52,16619.28,54619.80,12290.12,66909.92,54619.80,12290.12,66909.92,66909.92,66909.92,1622.30,2609,0,0,0,0.00,PASS
2025-11,35321.72,17725.14,53046.86,5435.79,58482.65,53046.86,5435.79,58482.65,58482.65,58482.65,918.74,2612,0,0,0,0.00,PASS
2025-12,22062.38,13337.34,35399.72,1355.95,36755.67,35399.72,1355.95,36755.67,36755.67,36755.67,737.70,1794,0,0,0,0.00,PASS
2026-01,21749.55,7455.78,29205.33,1062.74,30268.07,29205.33,1062.74,30268.07,30268.07,30268.07,487.83,1732,0,0,0,0.00,PASS
2026-02,24035.98,8750.34,32786.32,924.47,33710.79,32786.32,924.47,33710.79,33710.79,33710.79,653.52,1731,0,0,0,0.00,PASS
2026-03,20508.55,9618.77,30127.32,570.27,30697.59,30127.32,570.27,30697.59,30697.59,30697.59,719.25,1584,0,0,0,0.00,PASS
2026-04,18273.69,7268.22,25541.91,599.64,26141.55,25541.91,599.64,26141.55,26141.55,26141.55,1079.02,1238,0,0,0,0.00,PASS
2026-05,18500.01,6944.63,25444.64,918.71,26363.35,25444.64,918.71,26363.35,26363.35,26363.35,925.77,1306,0,0,0,0.00,PASS
2026-06,18494.15,7171.01,25665.16,571.42,26236.58,25665.16,571.42,26236.58,26236.58,26236.58,411.49,1334,0,0,0,0.00,PASS
2026-07 (through 07-13),6982.54,2746.20,9728.74,354.87,10083.61,9728.74,354.87,10083.61,10083.61,10083.61,0.00,492,0,0,0,0.00,PASS
