month,pg_amazon_sales,pg_vendor_sales,pg_total_sales,html_amazon_sales,html_vendor_sales,html_total_sales,pg_total_orders,html_total_orders,pg_total_quantity,html_total_quantity,sales_difference,orders_difference,quantity_difference,pass_fail
2025-01,34255.69,0.00,34255.69,34255.69,0.00,34255.69,1681,1681,2102,2102,0.00,0,0,PASS
2025-02,28567.88,0.00,28567.88,28567.88,0.00,28567.88,1379,1379,1731,1731,0.00,0,0,PASS
2025-03,31649.13,0.00,31649.13,31649.13,0.00,31649.13,1548,1548,1936,1936,0.00,0,0,PASS
2025-04,39107.59,0.00,39107.59,39107.59,0.00,39107.59,1993,1993,2494,2494,0.00,0,0,PASS
2025-05,38584.29,0.00,38584.29,38584.29,0.00,38584.29,2009,2009,2426,2426,0.00,0,0,PASS
2025-06,37090.96,4302.96,41393.92,37090.96,4302.96,41393.92,1899,1899,2906,2906,0.00,0,0,PASS
2025-07,49778.68,4568.81,54347.49,49778.68,4568.81,54347.49,2475,2475,3556,3556,0.00,0,0,PASS
2025-08,41988.11,5107.32,47095.43,41988.11,5107.32,47095.43,2208,2208,3317,3317,0.00,0,0,PASS
2025-09,48273.80,7510.31,55784.11,48273.80,7510.31,55784.11,2446,2446,3969,3969,0.00,0,0,PASS
2025-10,54619.80,12290.12,66909.92,54619.80,12290.12,66909.92,2674,2674,4709,4709,0.00,0,0,PASS
2025-11,53046.86,5435.79,58482.65,53046.86,5435.79,58482.65,2653,2653,3599,3599,0.00,0,0,PASS
2025-12,35399.72,1355.95,36755.67,35399.72,1355.95,36755.67,1826,1826,2254,2254,0.00,0,0,PASS
2026-01,29205.33,1062.74,30268.07,29205.33,1062.74,30268.07,1751,1751,2148,2148,0.00,0,0,PASS
2026-02,32801.31,924.47,33725.78,32801.31,924.47,33725.78,1767,1767,2237,2237,0.00,0,0,PASS
2026-03,30127.32,570.27,30697.59,30127.32,570.27,30697.59,1613,1613,2028,2028,0.00,0,0,PASS
2026-04,25541.91,599.64,26141.55,25541.91,599.64,26141.55,1274,1274,1620,1620,0.00,0,0,PASS
2026-05,25444.64,918.71,26363.35,25444.64,918.71,26363.35,1348,1348,1697,1697,0.00,0,0,PASS
2026-06,25665.16,571.42,26236.58,25665.16,571.42,26236.58,1348,1348,1668,1668,0.00,0,0,PASS
2026-07 (through 07-13),10053.85,354.87,10408.72,10053.85,354.87,10408.72,521,521,646,646,0.00,0,0,PASS

# ===== FULL-PERIOD TOTAL (single continuous 2025-01-01 to 2026-07-13 query) =====
metric,pg_value,html_value,difference,pass_fail
full_period_amazon_sales,671202.03,671202.03,0.00,PASS
full_period_vendor_sales,46792.53,46792.53,0.00,PASS
full_period_total_sales,717994.56,717994.56,0.00,PASS
full_period_total_orders,34413,34413,0,PASS
full_period_total_quantity,47117,47117,0,PASS

# ===== ROW-LEVEL INTEGRITY =====
check,value
missing_order_item_info,0
extra_order_item_info,0
duplicate_order_item_info,0
duplicate_asin_sku_pairs,0

# Note: identical figures to the immediately-prior fixed seven-status build, since the dynamic exclusion
# rule (every status except Cancelled/Canceled) and the fixed seven-status list (Completed/Refunded/
# Deleted/New/Pending/Inprogress/Hold) currently include the exact same set of statuses - the fresh status
# discovery in this task confirmed no additional status exists beyond those 9 total. The rule is now
# dynamic/exclusion-based in code (no hardcoded include list), so any future new status is picked up
# automatically without a code change.
