month,pg_completed_sales,pg_refunded_sales,pg_deleted_sales,pg_new_sales,pg_pending_sales,pg_inprogress_sales,pg_hold_sales,pg_amazon_sales,pg_vendor_sales,pg_total_sales,html_amazon_sales,html_vendor_sales,html_total_sales,html_total_orders,html_total_quantity,sales_difference,pass_fail
2025-01,33447.00,808.69,0.00,0.00,0.00,0.00,0.00,34255.69,0.00,34255.69,34255.69,0.00,34255.69,1681,2102,0.00,PASS
2025-02,28038.73,529.15,0.00,0.00,0.00,0.00,0.00,28567.88,0.00,28567.88,28567.88,0.00,28567.88,1379,1731,0.00,PASS
2025-03,31018.33,630.80,0.00,0.00,0.00,0.00,0.00,31649.13,0.00,31649.13,31649.13,0.00,31649.13,1548,1936,0.00,PASS
2025-04,38187.84,919.75,0.00,0.00,0.00,0.00,0.00,39107.59,0.00,39107.59,39107.59,0.00,39107.59,1993,2494,0.00,PASS
2025-05,37931.77,652.52,0.00,0.00,0.00,0.00,0.00,38584.29,0.00,38584.29,38584.29,0.00,38584.29,2009,2426,0.00,PASS
2025-06,36324.79,766.17,0.00,0.00,0.00,0.00,0.00,37090.96,4302.96,41393.92,37090.96,4302.96,41393.92,1899,2906,0.00,PASS
2025-07,48412.20,1366.48,0.00,0.00,0.00,0.00,0.00,49778.68,4568.81,54347.49,49778.68,4568.81,54347.49,2475,3556,0.00,PASS
2025-08,41356.30,631.81,0.00,0.00,0.00,0.00,0.00,41988.11,5107.32,47095.43,41988.11,5107.32,47095.43,2208,3317,0.00,PASS
2025-09,47230.32,1043.48,0.00,0.00,0.00,0.00,0.00,48273.80,7510.31,55784.11,48273.80,7510.31,55784.11,2446,3969,0.00,PASS
2025-10,52997.50,1622.30,0.00,0.00,0.00,0.00,0.00,54619.80,12290.12,66909.92,54619.80,12290.12,66909.92,2674,4709,0.00,PASS
2025-11,52128.12,918.74,0.00,0.00,0.00,0.00,0.00,53046.86,5435.79,58482.65,53046.86,5435.79,58482.65,2653,3599,0.00,PASS
2025-12,34662.02,737.70,0.00,0.00,0.00,0.00,0.00,35399.72,1355.95,36755.67,35399.72,1355.95,36755.67,1826,2254,0.00,PASS
2026-01,28717.50,487.83,0.00,0.00,0.00,0.00,0.00,29205.33,1062.74,30268.07,29205.33,1062.74,30268.07,1751,2148,0.00,PASS
2026-02,32132.80,653.52,0.00,0.00,14.99,0.00,0.00,32801.31,924.47,33725.78,32801.31,924.47,33725.78,1767,2237,0.00,PASS
2026-03,29408.07,719.25,0.00,0.00,0.00,0.00,0.00,30127.32,570.27,30697.59,30127.32,570.27,30697.59,1613,2028,0.00,PASS
2026-04,24462.89,1079.02,0.00,0.00,0.00,0.00,0.00,25541.91,599.64,26141.55,25541.91,599.64,26141.55,1274,1620,0.00,PASS
2026-05,24518.87,925.77,0.00,0.00,0.00,0.00,0.00,25444.64,918.71,26363.35,25444.64,918.71,26363.35,1348,1697,0.00,PASS
2026-06,25253.67,411.49,0.00,0.00,0.00,0.00,0.00,25665.16,571.42,26236.58,25665.16,571.42,26236.58,1348,1668,0.00,PASS
2026-07 (through 07-13),9728.74,0.00,0.00,294.13,30.98,0.00,0.00,10053.85,354.87,10408.72,10053.85,354.87,10408.72,521,646,0.00,PASS

# ===== FULL-PERIOD TOTAL (single continuous 2025-01-01 to 2026-07-13 query - NOT a sum of the 19 rows above) =====
# Note: Vendor Sales/Units for the FULL PERIOD must be computed as one continuous range, not summed month-by-month,
# because at least one vendor_sales period spans a calendar-month boundary and would otherwise be double-counted
# once per month it touches. This is the same documented period-overlap/no-proration behaviour already recorded
# in the dashboard's Data Coverage Notes - not a new bug. The per-month rows above are individually exact; only
# their Vendor Sales/Units columns should not be summed across months to reproduce the full-period Vendor total.
metric,pg_value,html_value,difference,pass_fail
full_period_amazon_sales,671202.03,671202.03,0.00,PASS
full_period_vendor_sales,46792.53,46792.53,0.00,PASS
full_period_total_sales,717994.56,717994.56,0.00,PASS
full_period_total_orders,34413,34413,0,PASS
full_period_total_quantity,47117,47117,0,PASS
